Actual,Predicted_Mean,Predicted_Std
0.105695579,6.6804943,3.47514
0.545505862,5.771072,3.0914674
7.375,33.2143,26.330898
119.975,101.82138,8.443989
0.360896362,4.6914043,4.544198
6.967949609,20.936773,10.664696
7.25,13.619536,8.276468
20.69632301,18.295057,8.918446
136.695,175.30913,84.829506
67.0,18.83193,10.253585
29.4,36.8043,2.801452
79.0,60.867176,4.8081646
16.33993631,18.603844,6.6200957
2.881954239,3.6667042,2.0067236
53.0583,49.11001,13.280134
5.09828768,7.6924634,2.7113144
37.9,47.203583,11.387719
3.6,10.146929,5.8783813
38.225,59.085636,9.778961
22.405,17.738428,7.930768
2.516655212,2.5031455,4.159409
49.495,42.426037,29.817177
50.375,41.248844,7.0137877
81.1032,57.22752,12.958402
74.975,76.870834,6.9481826
9.738169246,9.852685,3.0063298
68.315,37.716488,5.426459
51.39,31.67022,10.084984
6.863877561,20.554523,10.153312
42.7,63.85114,7.72307
26.085,34.277306,10.800632
160.875,101.82138,8.443989
50.66,15.778343,17.299685
95.0,91.600334,9.676868
35.63,51.813,6.45876
30.75,35.614853,12.43345
81.0,65.09179,3.9258263
72.775,41.914547,15.969773
2.73,10.287018,9.3702755
36.15,42.59357,4.376112
43.705,59.31877,6.575419
29.36,79.75313,30.283716
45.4866,38.151577,11.382879
64.09,55.030445,12.87558
47.4,63.85114,7.72307
55.0,50.02466,8.59931
2.235693557,27.782494,14.577119
8.728267055,12.038595,3.7752872
5.0,19.292706,8.95207
34.05,67.37058,9.57353
10.37996728,24.411777,7.795619
27.12064974,20.314259,11.883802
36.825,61.929188,3.9920814
39.765,44.813343,10.525009
6.711817161,5.77106,3.4979017
103.8,59.31877,6.575419
6.21,20.514925,8.455221
14.37,41.003185,9.165955
15.12120014,11.432141,3.889202
5.781,38.127907,10.332892
32.845,36.215324,13.319742
12.755,59.790108,11.681231
12.9,19.98213,12.559724
45.86752701,13.171471,6.8128185
74.425,52.82581,11.36528
50.5,76.870834,6.9481826
11.98811833,8.954358,2.0076532
4.155,24.555288,10.832047
14.69,35.633568,25.984865
73.18,41.258263,5.8371263
105.6,63.85114,7.72307
53.47,30.042517,10.971168
101.235,54.6046,7.9860883
97.0,59.888447,19.652945
77.6534,68.95783,3.1699998
26.86,38.77878,9.620908
2.620200701,13.080452,4.6544504
51.805,42.544037,17.478653
3.313323905,6.783901,4.2404666
23.65,22.271997,5.8694544
53.9419,68.95783,3.1699998
55.11,25.628717,8.999044
6.941807852,10.134497,2.6045115
99.42,101.82138,8.443989
4.709627936,5.7939863,3.7166486
59.335,78.53853,5.6094437
69.915,48.82509,12.59288
28.995,39.996136,13.23796
10.34,32.477215,14.090139
42.582,34.1119,4.3024573
5.825910237,5.768097,3.040812
17.69,48.853138,13.445773
42.295,31.67022,10.084984
11.78459997,12.017172,4.7577457
39.855,41.79136,4.925489
10.8,17.545626,6.6152916
0.205901807,4.710026,2.227827
16.83829299,11.648037,3.559419
7.175,9.180339,5.84613
1.525509206,9.258682,3.2306724
0.300354501,11.325015,5.53415
17.19,54.6046,7.9860883
11.5,13.55151,4.3628187
31.305,78.14094,23.162722
16.995,42.210045,6.562968
47.65,63.85114,7.72307
2.124253807,7.6924634,2.7113144
6.593599886,17.938314,4.976566
93.565,101.82138,8.443989
49.615,61.929188,3.9920814
10.4,37.894764,13.660927
3.280148948,8.535107,2.185785
97.025,56.5388,26.004902
39.995,48.959267,7.1304507
109.23,76.870834,6.9481826
111.83,91.600334,9.676868
19.3,19.292706,8.95207
1.025987207,8.25308,7.6619
0.297069536,5.5672665,5.0197606
25.555,45.527657,9.197294
41.625,38.836884,8.440965
3.288851136,4.937726,2.1175778
5.84,10.811802,7.2955446
3.072001601,4.0623174,2.5733707
6.287094113,10.65803,6.0072713
57.75,62.741783,13.315018
44.045,62.458336,6.7875233
3.341080655,6.948861,4.597619
38.485,49.56145,9.226144
68.25,65.20564,17.686626
25.6141814,18.295057,8.918446
48.85,94.50325,40.23972
39.96,20.751253,7.304816
24.55,36.8043,2.801452
0.687736061,4.787107,4.1266837
131.81,69.61031,9.865861
17.5,17.155575,6.348449
76.6617,80.5054,7.467366
14.82,54.321457,8.979785
72.1,54.321457,8.979785
48.35,36.8043,2.801452
